ID,ShortName,Long Name,Reference,XLMOD name,Synonyms,Type,ReactionSites,Monouisotopic Mass,Average Mass,Formula,Specificities
XL:01001,BS3 Amidated,bis(sulfosuccinimidyl)suberate Amidated,https://www.thermofisher.com/order/catalog/product/21580,Xlink:BS3!Amidated,BS3 Amidated,monolink,1,155.094628715,155.19052,C8 H13 O2 N1,"(K,S,T,Y,n-term)"
XL:01002,DSS Hydrolyzed,disuccinimidyl suberate Hydrolyzed,https://www.thermofisher.com/order/catalog/product/21655,Xlink:DSS!Hydrolyzed,DSS Hydrolyzed,monolink,1,156.07864431,156.17528,C8 H12 O3,"(K,S,T,Y,n-term)"
XL:01003,DSS Amidated,disuccinimidyl suberate Amidated,https://www.thermofisher.com/order/catalog/product/21655,Xlink:DSS!Amidated,DSS Amidated,monolink,1,155.094628715,155.19052,C8 H13 O2 N1,"(K,S,T,Y,n-term)"
XL:01004,DSS-D4 Hydrolyzed,"disuccinimidyl 2,2,7,7-suberate-d4 (?) Hydrolyzed",,Xlink:DSS:D4!Hydrolyzed,DSS-D4 Hydrolyzed,monolink,1,160.1037416836,160.203727116,C8 H8 2H4 O3 ,"(K,S,T,Y,n-term)"
XL:01005,DSS-D4 Amidated,"disuccinimidyl 2,2,7,7-suberate-d4 (?) Amidated",,Xlink:DSS:D4!Amidated,DSS-D4 Amidated,monolink,1,159.1197260886,159.218967116,C8 H9 2H4 O2 N1,"(K,S,T,Y,n-term)"
XL:01006,DSS-D12 Hydrolyzed,"disuccinimidyl 2,2,3,3,4,4,5,5,6,6,7,7-suberate-d12 (?) Hydrolyzed",,Xlink:DSS:D12!Hydrolyzed,DSS-D12 Hydrolyzed,monolink,1,168.153965238,168.253021348,C8 2H12 O3,"(K,S,T,Y,n-term)"
XL:01007,DSS-D12 Amidated,"disuccinimidyl 2,2,3,3,4,4,5,5,6,6,7,7-suberate-d12 (?) Amidated",,Xlink:DSS:D12!Amidated,DSS-D12 Amidated,monolink,1,167.169949643,167.268261348,C8 H9 2H4 O2 N1,"(K,S,T,Y,n-term)"
XL:01008,BS3-d4 Hydrolyzed,"bis(sulfosuccinimidyl) 2,2,7,7-suberate-d4 Hydrolyzed",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS3:d4!Hydrolyzed,BS3-d4 Hydrolyzed,monolink,1,160.103751286,160.20528,C8 H8 2H4 O3 ,"(K,S,T,Y,n-term)"
XL:01009,BS3-d4 Amidated,"bis(sulfosuccinimidyl) 2,2,7,7-suberate-d4 Amidated",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS3:d4!Amidated,BS3-d4 Amidated,monolink,1,159.119735691,159.22052,C8 H9 2H4 O2 N1,"(K,S,T,Y,n-term)"
XL:01010,BS2G Hydrolyzed,bis(sulfosuccinimidyl) glutarate Hydrolyzed,https://www.thermofisher.com/order/catalog/product/21610,Xlink:BS2G!Hydrolyzed,BS2G Hydrolyzed,monolink,1,114.0316941,114.09528,C8 H6 O3,"(K,S,T,Y,n-term)"
